time accel_x accel_y accel_z gyro_x gyro_y gyro_z
6256682 +1.004395 +0.006836 +0.025879 -3.902439 +0.975610 +1.951220
6256684 +1.007324 +0.000000 +0.030273 -3.841464 +0.792683 +2.134146
6256686 +1.009766 +0.002441 +0.023438 -3.780488 +0.914634 +2.134146
6256688 +1.007324 +0.000977 +0.024902 -3.841464 +0.853659 +2.012195
6256690 +1.007324 +0.003906 +0.035156 -3.780488 +0.731707 +2.317073
6256692 +1.007324 -0.003906 +0.027832 -3.841464 +0.731707 +2.073171
6256694 +1.011719 +0.005371 +0.020508 -3.841464 +0.792683 +2.317073
6256696 +1.005371 +0.006836 +0.025879 -3.841464 +0.792683 +2.134146
6256698 +1.005859 +0.000000 +0.023926 -3.902439 +1.036585 +2.195122
6256700 +1.011230 +0.000977 +0.024414 -3.780488 +0.975610 +2.134146
6256702 +1.009277 +0.000000 +0.021973 -3.841464 +0.853659 +2.134146
6256704 +1.005859 -0.000488 +0.023438 -3.841464 +0.853659 +2.134146
6256706 +1.008789 +0.003906 +0.019043 -3.780488 +0.731707 +2.134146
6256708 +1.004395 +0.004395 +0.019043 -3.963415 +1.036585 +2.195122
6256710 +1.006348 +0.002441 +0.033691 -3.841464 +0.731707 +2.378049
6256712 +1.008301 +0.004883 +0.017090 -3.902439 +0.670732 +2.134146
6256714 +1.006348 -0.005859 +0.020996 -3.902439 +0.853659 +2.256098
6256716 +1.012207 +0.001465 +0.021973 -3.902439 +0.792683 +2.134146
6256718 +1.006348 +0.000977 +0.021484 -3.719512 +0.670732 +2.012195
6256720 +1.008789 +0.004395 +0.026855 -3.902439 +0.914634 +2.073171
6256722 +1.006348 -0.001465 +0.017578 -3.780488 +0.914634 +2.195122
6256724 +1.008301 +0.003906 +0.037109 -3.963415 +0.975610 +1.890244
6256726 +1.010742 -0.000488 +0.025391 -3.841464 +0.914634 +2.256098
6256728 +1.008301 +0.004883 +0.021484 -3.902439 +0.792683 +2.256098
6256730 +1.003418 +0.001465 +0.022949 -3.780488 +0.853659 +2.012195
6256732 +1.007812 +0.008301 +0.028809 -3.780488 +0.853659 +2.012195
6256734 +1.006836 -0.002930 +0.028809 -4.024390 +0.914634 +2.195122
6256736 +1.008789 +0.001953 +0.027344 -3.902439 +0.792683 +2.317073
6256738 +1.011230 +0.001953 +0.021484 -3.719512 +0.914634 +2.134146
6256740 +1.005371 -0.002930 +0.021484 -3.902439 +0.975610 +1.951220
6256742 +1.004883 +0.006348 +0.024414 -3.963415 +0.853659 +2.256098
6256744 +1.003906 -0.000488 +0.027344 -3.841464 +0.914634 +2.134146
6256746 +1.005859 +0.004395 +0.026855 -3.902439 +0.670732 +2.134146
6256748 +1.000000 +0.002441 +0.027832 -3.841464 +0.853659 +2.256098
6256750 +1.008789 -0.003906 +0.017578 -4.024390 +0.975610 +2.073171
6256752 +1.003418 +0.001465 +0.024902 -3.841464 +1.097561 +2.195122
6256754 +1.006836 +0.005371 +0.031250 -3.841464 +0.670732 +2.317073
6256756 +1.009766 -0.003906 +0.032715 -3.963415 +0.853659 +1.829268
6256758 +1.011719 -0.001465 +0.029297 -3.963415 +0.914634 +2.378049
6256760 +1.006348 -0.006836 +0.026367 -3.719512 +0.975610 +2.134146
6256762 +1.003418 -0.001465 +0.032715 -3.902439 +1.036585 +2.073171
6256764 +1.005859 -0.000488 +0.021484 -3.963415 +0.792683 +2.195122
6256766 +1.007812 +0.001953 +0.029785 -3.841464 +0.853659 +2.378049
6256768 +1.010742 +0.004395 +0.028809 -3.902439 +0.914634 +2.195122
6256770 +1.003906 -0.000977 +0.022461 -3.963415 +0.731707 +2.134146
6256772 +1.006348 -0.002441 +0.022949 -3.841464 +0.914634 +2.012195
6256774 +1.004883 +0.006836 +0.021973 -3.902439 +0.853659 +2.012195
6256776 +1.005371 +0.003418 +0.026855 -3.963415 +0.853659 +2.134146
6256778 +1.007324 +0.007812 +0.027344 -3.780488 +0.914634 +2.195122
6256780 +1.013672 +0.007324 +0.025879 -3.780488 +0.853659 +2.073171
6256782 +1.005859 +0.002441 +0.028320 -3.841464 +0.853659 +2.195122
6256784 +1.006348 +0.004883 +0.030273 -3.841464 +0.914634 +2.195122
6256786 +1.004883 +0.002930 +0.025391 -3.841464 +0.792683 +2.134146
6256788 +1.002930 +0.003906 +0.030762 -3.963415 +0.609756 +2.195122
6256790 +1.008789 +0.002930 +0.034180 -3.963415 +0.792683 +2.073171
6256792 +1.006348 -0.001953 +0.021973 -3.780488 +0.853659 +2.012195
6256794 +1.003906 +0.000488 +0.021973 -3.902439 +0.792683 +2.073171
6256796 +1.009277 +0.003906 +0.022461 -3.963415 +0.914634 +1.890244
6256798 +1.013672 +0.000977 +0.030273 -3.841464 +0.670732 +2.073171
6256800 +1.001953 +0.004395 +0.030273 -3.902439 +1.097561 +1.890244
6256802 +1.009766 -0.002441 +0.028809 -3.963415 +0.792683 +2.134146
6256804 +1.011230 +0.001465 +0.028809 -3.841464 +0.853659 +2.134146
6256806 +1.005859 +0.005859 +0.020508 -3.902439 +0.914634 +2.073171
6256809 +1.009766 +0.001465 +0.021973 -3.902439 +0.914634 +2.195122
6256811 +1.007324 -0.000488 +0.021973 -3.963415 +0.975610 +1.890244
6256813 +1.007324 -0.004883 +0.029785 -3.902439 +0.853659 +2.073171
6256815 +1.006348 -0.003906 +0.022949 -3.963415 +0.731707 +2.256098
6256817 +1.001953 +0.000000 +0.032227 -3.902439 +0.914634 +2.012195
6256819 +1.006348 +0.000488 +0.030762 -3.902439 +0.853659 +2.195122
6256821 +1.000000 -0.000488 +0.021973 -3.841464 +0.731707 +1.890244
6256823 +1.005859 -0.000488 +0.027832 -3.841464 +0.975610 +2.256098
6256825 +1.007324 -0.000977 +0.022949 -3.902439 +0.670732 +2.012195
6256827 +1.005371 +0.000000 +0.026855 -3.963415 +1.158537 +2.134146
6256829 +1.006836 -0.004883 +0.032227 -3.780488 +0.853659 +2.073171
6256831 +1.009277 +0.002441 +0.024414 -4.024390 +0.731707 +1.646341
6256833 +1.006348 -0.005371 +0.033691 -3.902439 +0.853659 +1.951220
6256835 +1.008789 +0.000488 +0.020508 -3.902439 +0.975610 +2.073171
6256837 +1.012695 +0.001465 +0.033691 -3.841464 +0.731707 +2.134146
6256839 +1.007324 -0.000977 +0.023438 -3.841464 +0.853659 +2.195122
6256841 +1.010742 -0.001465 +0.031250 -3.841464 +1.036585 +2.012195
6256843 +1.005859 -0.000488 +0.020508 -3.902439 +0.914634 +2.073171
6256845 +1.004883 +0.004395 +0.033203 -3.902439 +0.792683 +2.012195
6256847 +1.003906 +0.000977 +0.026367 -3.902439 +0.914634 +2.256098
6256849 +1.007812 +0.002441 +0.021973 -3.963415 +0.914634 +2.134146
6256851 +1.007812 -0.000977 +0.036133 -3.780488 +0.975610 +2.073171
6256853 +1.004395 +0.004395 +0.028320 -3.719512 +0.731707 +2.134146
6256855 +1.007812 +0.000977 +0.020996 -3.902439 +0.914634 +2.012195
6256857 +1.008789 +0.002441 +0.028320 -3.902439 +0.914634 +2.012195
6256859 +1.012207 +0.000488 +0.024414 -3.780488 +0.853659 +2.073171
6256861 +1.010742 +0.000000 +0.020996 -3.963415 +0.975610 +2.134146
6256863 +1.009766 +0.003906 +0.030273 -3.719512 +0.731707 +2.134146
6256865 +1.005371 +0.004883 +0.024414 -3.780488 +0.914634 +2.195122
6256867 +1.005859 +0.001465 +0.030273 -3.780488 +0.792683 +2.073171
6256869 +1.004395 +0.001465 +0.023438 -3.841464 +0.792683 +2.073171
6256871 +1.002441 +0.003906 +0.026855 -3.963415 +0.853659 +2.317073
6256873 +1.007324 +0.005859 +0.026367 -3.780488 +0.792683 +1.951220
6256875 +1.007324 -0.000977 +0.023438 -3.902439 +0.853659 +1.890244
6256877 +1.006348 +0.001465 +0.025391 -3.963415 +0.792683 +1.829268
6256879 +1.005371 -0.005371 +0.016113 -3.719512 +0.670732 +2.256098
6256881 +1.005859 +0.006836 +0.021973 -3.719512 +0.670732 +2.134146
6256883 +1.009277 +0.000977 +0.025391 -3.902439 +0.731707 +2.195122
6256885 +1.004395 +0.001953 +0.016602 -3.902439 +0.914634 +2.195122
6256887 +1.011230 +0.004395 +0.031250 -3.902439 +0.914634 +1.890244
6256889 +1.001465 -0.000977 +0.026367 -3.902439 +0.914634 +2.134146
6256891 +0.996582 -0.003906 +0.023926 -4.024390 +0.731707 +2.073171
6256893 +1.008301 +0.002441 +0.020508 -3.841464 +0.731707 +2.012195
6256895 +1.011230 +0.003906 +0.027344 -4.024390 +1.036585 +1.951220
6256897 +1.008301 -0.002441 +0.023926 -3.780488 +0.792683 +2.073171
6256899 +1.008789 +0.000000 +0.027832 -3.841464 +0.975610 +2.256098
6256901 +1.006836 +0.003906 +0.031738 -3.902439 +0.914634 +2.073171
6256903 +1.010254 -0.002930 +0.029297 -3.597561 +0.853659 +2.195122
6256905 +1.003906 -0.002930 +0.014648 -3.780488 +0.792683 +1.951220
6256907 +1.003418 -0.005859 +0.026855 -3.841464 +0.975610 +2.195122
6256909 +1.008789 -0.001465 +0.031738 -3.841464 +0.975610 +2.195122
6256911 +1.009766 -0.004395 +0.032715 -3.841464 +0.792683 +2.073171
6256913 +1.009766 +0.001953 +0.021484 -3.841464 +0.914634 +2.012195
6256915 +1.006836 -0.000488 +0.027832 -3.902439 +0.853659 +2.256098
6256917 +0.997559 +0.000977 +0.029297 -3.841464 +0.670732 +1.951220
6256919 +1.004883 -0.000977 +0.031738 -3.963415 +0.792683 +2.073171
6256921 +1.005859 +0.004883 +0.030762 -3.841464 +0.731707 +2.134146
6256923 +1.004395 +0.004883 +0.029297 -3.963415 +0.853659 +2.012195
6256925 +1.004395 +0.000488 +0.025879 -3.963415 +0.731707 +2.195122
6256927 +1.005859 +0.000488 +0.026367 -3.902439 +0.853659 +2.073171
6256929 +1.004883 -0.003906 +0.026367 -3.658537 +0.853659 +2.073171
6256931 +1.005371 -0.000977 +0.024902 -3.963415 +1.036585 +2.134146
6256933 +1.009277 +0.003906 +0.020020 -3.841464 +0.853659 +2.134146
6256935 +1.006348 +0.005371 +0.022949 -3.963415 +0.792683 +2.012195
6256937 +1.010254 -0.000488 +0.036621 -3.780488 +0.853659 +2.195122
6256939 +1.004883 -0.002930 +0.026855 -3.902439 +0.731707 +2.073171
6256941 +1.004395 -0.006836 +0.017578 -3.780488 +1.036585 +1.890244
6256943 +1.003906 +0.004395 +0.026855 -3.780488 +0.792683 +2.317073
6256945 +1.005859 +0.000977 +0.031250 -3.841464 +0.670732 +2.012195
6256947 +1.006348 -0.002930 +0.031250 -3.902439 +0.853659 +1.768293
6256949 +1.005859 +0.004395 +0.021973 -3.902439 +0.914634 +2.195122
6256951 +1.012695 +0.002441 +0.031738 -3.841464 +0.792683 +2.073171
6256953 +1.010254 -0.003906 +0.022949 -3.963415 +0.914634 +2.134146
6256955 +1.000000 -0.005371 +0.029297 -3.780488 +0.914634 +2.195122
6256957 +1.009766 -0.006836 +0.026367 -3.780488 +0.914634 +2.195122
6256959 +1.003906 +0.000977 +0.021484 -4.024390 +0.792683 +2.073171
6256961 +1.001953 +0.002441 +0.028320 -3.719512 +0.792683 +2.134146
6256963 +1.002441 -0.001465 +0.028320 -3.902439 +0.853659 +2.073171
6256965 +1.003906 +0.005859 +0.019043 -3.902439 +0.853659 +2.073171
6256967 +1.009277 +0.003418 +0.024902 -3.902439 +0.853659 +2.134146
6256969 +1.004883 +0.002441 +0.028320 -3.902439 +0.914634 +2.195122
6256971 +1.009766 -0.001465 +0.022949 -3.902439 +1.036585 +2.134146
